distance,k,accu
0,1,0.633
0,2,0.633
0,3,0.606
0,4,0.606
0,5,0.578
0,6,0.571
0,7,0.562
0,8,0.558
0,9,0.542
0,10,0.536
0,11,0.523
0,12,0.518
0,13,0.506
0,14,0.506
0,15,0.494
0,16,0.489
0,17,0.469
0,18,0.47
0,19,0.455
0,20,0.458
0,21,0.445
0,22,0.445
0,23,0.441
0,24,0.435
0,25,0.429
0,26,0.424
0,27,0.419
0,28,0.417
0,29,0.41
0,30,0.414
0,31,0.411
0,32,0.41
0,33,0.406
0,34,0.406
0,35,0.405
0,36,0.401
0,37,0.393
0,38,0.392
0,39,0.388
0,40,0.387
0,41,0.385
0,42,0.383
0,43,0.384
0,44,0.378
0,45,0.378
0,46,0.373
0,47,0.37
0,48,0.367
0,49,0.365
0,50,0.363
0,51,0.361
0,52,0.356
0,53,0.353
0,54,0.355
0,55,0.351
0,56,0.347
0,57,0.345
0,58,0.342
0,59,0.344
0,60,0.339
0,61,0.34
0,62,0.337
0,63,0.334
0,64,0.33
0,65,0.324
0,66,0.323
0,67,0.322
0,68,0.32
0,69,0.318
0,70,0.313
0,71,0.312
0,72,0.312
0,73,0.31
0,74,0.31
0,75,0.305
0,76,0.304
0,77,0.302
0,78,0.302
0,79,0.299
0,80,0.3
0,81,0.296
0,82,0.295
0,83,0.298
0,84,0.294
0,85,0.293
0,86,0.29
0,87,0.289
0,88,0.285
0,89,0.285
0,90,0.282
0,91,0.282
0,92,0.279
0,93,0.278
0,94,0.279
0,95,0.277
0,96,0.275
0,97,0.275
0,98,0.276
0,99,0.275
0,100,0.272
1,1,0.877
1,2,0.877
1,3,0.872
1,4,0.877
1,5,0.869
1,6,0.867
1,7,0.856
1,8,0.863
1,9,0.844
1,10,0.85
1,11,0.845
1,12,0.84
1,13,0.843
1,14,0.847
1,15,0.842
1,16,0.839
1,17,0.837
1,18,0.831
1,19,0.825
1,20,0.823
1,21,0.824
1,22,0.821
1,23,0.817
1,24,0.807
1,25,0.811
1,26,0.806
1,27,0.806
1,28,0.805
1,29,0.803
1,30,0.8
1,31,0.794
1,32,0.793
1,33,0.794
1,34,0.787
1,35,0.785
1,36,0.785
1,37,0.782
1,38,0.778
1,39,0.778
1,40,0.779
1,41,0.778
1,42,0.771
1,43,0.771
1,44,0.772
1,45,0.773
1,46,0.772
1,47,0.767
1,48,0.765
1,49,0.768
1,50,0.767
1,51,0.766
1,52,0.761
1,53,0.762
1,54,0.761
1,55,0.758
1,56,0.756
1,57,0.758
1,58,0.757
1,59,0.755
1,60,0.754
1,61,0.756
1,62,0.752
1,63,0.753
1,64,0.751
1,65,0.751
1,66,0.75
1,67,0.75
1,68,0.742
1,69,0.745
1,70,0.74
1,71,0.738
1,72,0.739
1,73,0.737
1,74,0.737
1,75,0.738
1,76,0.739
1,77,0.74
1,78,0.738
1,79,0.738
1,80,0.737
1,81,0.736
1,82,0.734
1,83,0.732
1,84,0.731
1,85,0.726
1,86,0.723
1,87,0.723
1,88,0.722
1,89,0.721
1,90,0.72
1,91,0.717
1,92,0.714
1,93,0.716
1,94,0.714
1,95,0.715
1,96,0.716
1,97,0.714
1,98,0.714
1,99,0.714
1,100,0.714
2,1,0.887
2,2,0.887
2,3,0.89
2,4,0.893
2,5,0.886
2,6,0.888
2,7,0.878
2,8,0.882
2,9,0.873
2,10,0.878
2,11,0.866
2,12,0.873
2,13,0.866
2,14,0.867
2,15,0.861
2,16,0.859
2,17,0.856
2,18,0.85
2,19,0.849
2,20,0.845
2,21,0.84
2,22,0.834
2,23,0.831
2,24,0.832
2,25,0.829
2,26,0.828
2,27,0.827
2,28,0.828
2,29,0.826
2,30,0.819
2,31,0.818
2,32,0.82
2,33,0.822
2,34,0.82
2,35,0.819
2,36,0.817
2,37,0.815
2,38,0.814
2,39,0.813
2,40,0.811
2,41,0.812
2,42,0.81
2,43,0.809
2,44,0.807
2,45,0.801
2,46,0.801
2,47,0.803
2,48,0.8
2,49,0.801
2,50,0.8
2,51,0.797
2,52,0.797
2,53,0.79
2,54,0.791
2,55,0.788
2,56,0.79
2,57,0.788
2,58,0.787
2,59,0.785
2,60,0.786
2,61,0.788
2,62,0.783
2,63,0.781
2,64,0.78
2,65,0.777
2,66,0.777
2,67,0.78
2,68,0.777
2,69,0.776
2,70,0.776
2,71,0.772
2,72,0.77
2,73,0.771
2,74,0.769
2,75,0.767
2,76,0.765
2,77,0.762
2,78,0.764
2,79,0.759
2,80,0.76
2,81,0.763
2,82,0.765
2,83,0.768
2,84,0.764
2,85,0.765
2,86,0.765
2,87,0.766
2,88,0.764
2,89,0.765
2,90,0.765
2,91,0.762
2,92,0.757
2,93,0.754
2,94,0.754
2,95,0.752
2,96,0.753
2,97,0.752
2,98,0.751
2,99,0.75
2,100,0.749
